X_HF1,X_HF2,X_HF3,X_HF4,X_HF5,y_max_HF
3.18526542162742,2.11776589275659,3.27774437707484,1.33224191598212,1.98143467141013,18.6906676864022
1.24589380698721,4.67175461897843,1.96342475937491,1.97002308934617,3.019406738707,16.1418172070588
4.71110900190545,4.79173619807987,4.11716604392617,2.27151477647379,3.99654500053198,10.8651654646907
4.93290317906286,3.43240272783384,1.78446647137844,4.27744655195987,2.71057274962228,14.3579013724446
3.85373284001074,1.63849792373571,3.70312467917798,3.77409035961582,4.33005240594018,13.2889724730356
3.54532702075776,2.47011397565758,1.61018789477772,3.46503265425536,1.83244015795212,18.2950633403375
2.33182494557698,2.79296166681107,2.16985631786736,1.64836014887399,2.33761767725213,18.8469311000069
4.32326079676066,4.32958348413391,3.4625454248138,4.13311760628825,1.12950689740021,12.2078651462407
2.47508389708724,1.2983062692594,4.53299219286784,2.47832608359295,2.65254472035933,16.0105341060565
1.82234584915552,1.50069930467322,1.33433480754955,1.56856944506166,3.83262563898682,25.7298632596192
4.18947141077749,2.1495969797854,4.93191349219361,4.99205935396079,3.39633894212261,10.8364281402225
2.84286427296323,3.81783051312787,4.39280722160967,4.54654069230446,4.7455430310933,9.80839069623162
2.05711764149927,4.08450468399096,3.00327073264189,2.78999416674655,3.51469943736348,12.9318754102073
3.06971664247441,3.63978545945578,2.6244961842876,3.31522024330202,1.48987737771974,14.5805261910181
1.48795684598811,3.05288658658076,2.73248085036875,2.94477221810249,4.6175170226191,14.0069565209181
